Time,Load,Temperature,Day,Month,Hour,Day_of_week,Is_holiday
2021-03-16 16:00:00,67956.1,5.2,16,3,16,1,0
2021-06-24 19:00:00,61472.3,17.9,24,6,19,3,0
2021-03-25 20:00:00,65380.5,9.0,25,3,20,3,0
2021-03-31 03:00:00,45718.2,6.4,31,3,3,2,0
2021-06-18 01:00:00,49509.6,20.3,18,6,1,4,0
2021-07-07 17:00:00,62917.1,21.6,7,7,17,2,0
2021-11-11 18:00:00,70066.2,5.0,11,11,18,3,0
2021-05-04 12:00:00,73014.7,11.4,4,5,12,1,0
2021-09-25 00:00:00,48949.9,13.6,25,9,0,5,0
2021-02-09 04:00:00,56594.7,-7.5,9,2,4,1,0
2021-05-03 12:00:00,68103.8,9.0,3,5,12,0,0
2021-06-12 02:00:00,43111.8,16.0,12,6,2,5,0
2021-03-26 12:00:00,67647.9,13.0,26,3,12,4,0
2021-09-23 01:00:00,46705.9,9.5,23,9,1,3,0
2021-11-21 07:00:00,47699.6,4.8,21,11,7,6,0
2021-11-10 13:00:00,71859.1,7.8,10,11,13,2,0
2021-07-07 12:00:00,68658.0,18.9,7,7,12,2,0
2021-06-30 20:00:00,61449.3,16.1,30,6,20,2,0
2021-11-06 23:00:00,51585.5,5.3,6,11,23,5,0
2021-06-14 10:00:00,64518.5,18.6,14,6,10,0,0
2021-04-24 13:00:00,53824.6,11.6,24,4,13,5,0
2021-12-13 11:00:00,73031.9,5.9,13,12,11,0,0
2021-01-16 22:00:00,57136.3,-3.4,16,1,22,5,0
2021-08-26 02:00:00,44675.3,13.3,26,8,2,3,0
2021-09-01 05:00:00,47341.4,11.0,1,9,5,2,0
2021-12-09 08:00:00,73084.9,0.1,9,12,8,3,0
2021-10-09 22:00:00,50606.8,6.7,9,10,22,5,0
2021-12-06 11:00:00,73460.2,0.8,6,12,11,0,0
2021-02-28 00:00:00,46971.0,2.0,28,2,0,6,0
2021-08-18 02:00:00,44640.4,12.6,18,8,2,2,0
2021-10-06 02:00:00,47182.2,10.8,6,10,2,2,0
2021-01-10 08:00:00,48252.3,-2.6,10,1,8,6,0
2021-04-19 21:00:00,63119.8,8.1,19,4,21,0,0
2021-07-30 17:00:00,60531.1,24.6,30,7,17,4,0
2021-03-11 07:00:00,69712.6,5.2,11,3,7,3,0
2021-09-23 22:00:00,57920.2,14.5,23,9,22,3,0
2021-06-08 13:00:00,66667.6,20.8,8,6,13,1,0
2021-08-25 15:00:00,63707.8,19.2,25,8,15,2,0
2021-09-07 02:00:00,43227.5,13.1,7,9,2,1,0
2021-09-27 03:00:00,42060.3,15.1,27,9,3,0,0
2021-10-12 18:00:00,67474.3,9.0,12,10,18,1,0
2021-06-25 15:00:00,61802.2,19.4,25,6,15,4,0
2021-05-24 18:00:00,50083.2,15.8,24,5,18,0,1
2021-09-07 17:00:00,60577.6,22.5,7,9,17,1,0
2021-12-06 01:00:00,50587.1,0.3,6,12,1,0,0
2021-06-06 14:00:00,48609.7,18.0,6,6,14,6,0
2021-06-22 00:00:00,50335.2,16.3,22,6,0,1,0
2021-01-16 02:00:00,51501.2,-2.9,16,1,2,5,0
2021-05-03 17:00:00,62884.5,11.3,3,5,17,0,0
2021-03-16 03:00:00,52145.6,2.5,16,3,3,1,0
2021-06-23 16:00:00,61997.5,20.1,23,6,16,2,0
2021-09-16 02:00:00,45213.2,16.4,16,9,2,3,0
2021-08-11 03:00:00,42398.9,13.7,11,8,3,2,0
2021-09-27 20:00:00,64304.3,16.7,27,9,20,0,0
2021-01-22 04:00:00,55954.0,6.9,22,1,4,4,0
2021-05-14 22:00:00,50696.9,9.6,14,5,22,4,0
2021-07-10 19:00:00,50495.2,22.1,10,7,19,5,0
2021-12-14 09:00:00,73288.2,4.7,14,12,9,1,0
2021-04-05 05:00:00,43160.1,2.7,5,4,5,0,1
2021-02-10 18:00:00,75781.8,-6.2,10,2,18,2,0
2021-10-28 16:00:00,64470.1,13.3,28,10,16,3,0
2021-11-28 19:00:00,60936.9,0.7,28,11,19,6,0
2021-04-06 00:00:00,50137.0,-0.9,6,4,0,1,0
2021-08-20 06:00:00,51844.2,14.5,20,8,6,4,0
2021-01-15 14:00:00,70882.2,-0.9,15,1,14,4,0
2021-06-16 09:00:00,64555.5,19.7,16,6,9,2,0
2021-09-15 17:00:00,64629.3,19.7,15,9,17,2,0
2021-05-27 16:00:00,64043.7,12.1,27,5,16,3,0
2021-11-27 10:00:00,61931.5,1.9,27,11,10,5,0
2021-01-26 22:00:00,65052.5,-0.1,26,1,22,1,0
2021-04-01 18:00:00,61143.1,15.9,1,4,18,3,0
2021-01-10 01:00:00,47461.7,-1.9,10,1,1,6,0
2021-02-16 03:00:00,54563.6,1.0,16,2,3,1,0
2021-06-22 15:00:00,65642.6,18.4,22,6,15,1,0
2021-05-26 12:00:00,69472.1,11.1,26,5,12,2,0
2021-02-25 08:00:00,68594.0,5.5,25,2,8,3,0
2021-11-26 05:00:00,55673.2,1.3,26,11,5,4,0
2021-04-13 13:00:00,71004.6,5.3,13,4,13,1,0
2021-05-27 03:00:00,47390.2,8.0,27,5,3,3,0
2021-12-07 08:00:00,74118.3,0.5,7,12,8,1,0
2021-02-06 04:00:00,49932.1,2.4,6,2,4,5,0
2021-03-08 03:00:00,47398.3,-1.2,8,3,3,0,0
2021-05-19 17:00:00,62132.9,13.0,19,5,17,2,0
2021-09-27 16:00:00,64085.9,19.9,27,9,16,0,0
2021-07-09 22:00:00,54017.1,15.3,9,7,22,4,0
2021-07-05 18:00:00,62248.0,20.3,5,7,18,0,0
2021-03-24 12:00:00,69979.5,9.8,24,3,12,2,0
2021-02-21 22:00:00,52227.9,5.7,21,2,22,6,0
2021-10-15 11:00:00,72561.1,10.0,15,10,11,4,0
2021-03-25 10:00:00,68300.1,8.9,25,3,10,3,0
2021-01-20 10:00:00,74787.7,3.7,20,1,10,2,0
2021-08-20 18:00:00,58660.4,20.7,20,8,18,4,0
2021-07-21 12:00:00,66354.9,20.0,21,7,12,2,0
2021-04-28 00:00:00,50461.2,5.9,28,4,0,2,0
2021-06-29 05:00:00,49279.0,17.0,29,6,5,1,0
2021-07-01 05:00:00,49704.9,13.5,1,7,5,3,0
2021-07-14 02:00:00,46601.8,16.4,14,7,2,2,0
2021-10-24 03:00:00,41840.1,2.6,24,10,3,6,0
2021-02-18 20:00:00,70227.9,6.5,18,2,20,3,0
2021-12-25 10:00:00,52838.3,-0.7,25,12,10,5,1
2021-12-09 13:00:00,75301.8,1.4,9,12,13,3,0
2021-08-22 12:00:00,50624.6,18.9,22,8,12,6,0
2021-12-06 18:00:00,75975.4,0.4,6,12,18,0,0
2021-06-07 05:00:00,43910.2,14.1,7,6,5,0,0
2021-08-19 01:00:00,46346.4,15.4,19,8,1,3,0
2021-07-18 09:00:00,46619.3,18.0,18,7,9,6,0
2021-03-18 17:00:00,66984.4,3.4,18,3,17,3,0
